ukbb_std_name	ukbb_raw_name	outcome	bbs_feature_id	bbs_chemical_name	bbs_pathway	bbs_sub_pathway	unsure	comment
cholesterol_to_total_lipids_in_large_vldl_percentage	Cholesterol to Total Lipids in Large VLDL percentage	Total cholesterol to total lipids ratio in large VLDL	metab_lvldlcpct	Ratio	Lipoprotein subclasses ratios	Large VLDL ratios		
cholesterol_to_total_lipids_in_medium_hdl_percentage	Cholesterol to Total Lipids in Medium HDL percentage	Total cholesterol to total lipids ratio in medium HDL	metab_mhdlcpct	Ratio	Lipoprotein subclasses ratios	Medium HDL ratios		
cholesterol_to_total_lipids_in_medium_ldl_percentage	Cholesterol to Total Lipids in Medium LDL percentage	Total cholesterol to total lipids ratio in medium LDL	metab_mldlcpct	Ratio	Lipoprotein subclasses ratios	Medium LDL ratios		
cholesterol_to_total_lipids_in_medium_vldl_percentage	Cholesterol to Total Lipids in Medium VLDL percentage	Total cholesterol to total lipids ratio in medium VLDL	metab_mvldlcpct	Ratio	Lipoprotein subclasses ratios	Medium VLDL ratios		
cholesterol_to_total_lipids_in_small_hdl_percentage	Cholesterol to Total Lipids in Small HDL percentage	Total cholesterol to total lipids ratio in small HDL	metab_shdlcpct	Ratio	Lipoprotein subclasses ratios	Small HDL ratios		
cholesterol_to_total_lipids_in_small_ldl_percentage	Cholesterol to Total Lipids in Small LDL percentage	Total cholesterol to total lipids ratio in small LDL	metab_sldlcpct	Ratio	Lipoprotein subclasses ratios	Small LDL ratios		
cholesterol_to_total_lipids_in_small_vldl_percentage	Cholesterol to Total Lipids in Small VLDL percentage	Total cholesterol to total lipids ratio in small VLDL	metab_svldlcpct	Ratio	Lipoprotein subclasses ratios	Small VLDL ratios		
cholesterol_to_total_lipids_in_very_large_hdl_percentage	Cholesterol to Total Lipids in Very Large HDL percentage	Total cholesterol to total lipids ratio in very large HDL	metab_xlhdlcpct	Ratio	Lipoprotein subclasses ratios	Very large HDL ratios		
cholesterol_to_total_lipids_in_very_large_vldl_percentage	Cholesterol to Total Lipids in Very Large VLDL percentage	Total cholesterol to total lipids ratio in very large VLDL	metab_xlvldlcpct	Ratio	Lipoprotein subclasses ratios	Very large VLDL ratios		
cholesterol_to_total_lipids_in_very_small_vldl_percentage	Cholesterol to Total Lipids in Very Small VLDL percentage	Total cholesterol to total lipids ratio in very small VLDL	metab_xsvldlcpct	Ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios		
cholesteryl_esters_in_chylomicrons_and_extremely_large_vldl	Cholesteryl Esters in Chylomicrons and Extremely Large VLDL	Cholesteryl ester levels in chylomicrons and extremely large VLDL	metab_xxlvldlce	Cholesterol esters	Lipoprotein subclasses	Extremely large VLDL		
cholesteryl_esters_in_hdl	Cholesteryl Esters in HDL		metab_hdlce	Cholesteryl esters in HDL	Cholesteryl esters	Cholesteryl esters		
cholesteryl_esters_in_idl	Cholesteryl Esters in IDL	Cholesterol esters in IDL	metab_idlce	Cholesterol esters	Lipoprotein subclasses	IDL		
cholesteryl_esters_in_large_hdl	Cholesteryl Esters in Large HDL	Cholesterol esters in large HDL	metab_lhdlce	Cholesterol esters	Lipoprotein subclasses	Large HDL		
cholesteryl_esters_in_large_ldl	Cholesteryl Esters in Large LDL	Cholesterol esters in large LDL	metab_lldlce	Cholesterol esters	Lipoprotein subclasses	Large LDL		
cholesteryl_esters_in_large_vldl	Cholesteryl Esters in Large VLDL	Cholesterol esters in large VLDL	metab_lvldlce	Cholesterol esters	Lipoprotein subclasses	Large VLDL		
cholesteryl_esters_in_ldl	Cholesteryl Esters in LDL		metab_ldlce	Cholesteryl esters in LDL	Cholesteryl esters	Cholesteryl esters		
cholesteryl_esters_in_medium_hdl	Cholesteryl Esters in Medium HDL	Cholesterol esters in medium HDL	metab_mhdlce	Cholesterol esters	Lipoprotein subclasses	Medium HDL		
cholesteryl_esters_in_medium_ldl	Cholesteryl Esters in Medium LDL	Cholesterol esters in medium LDL	metab_mldlce	Cholesterol esters	Lipoprotein subclasses	Medium LDL		
cholesteryl_esters_in_medium_vldl	Cholesteryl Esters in Medium VLDL	Cholesterol esters in medium VLDL	metab_mvldlce	Cholesterol esters	Lipoprotein subclasses	Medium VLDL		
cholesteryl_esters_in_small_hdl	Cholesteryl Esters in Small HDL	Cholesterol esters in small HDL	metab_shdlce	Cholesterol esters	Lipoprotein subclasses	Small HDL		
cholesteryl_esters_in_small_ldl	Cholesteryl Esters in Small LDL	Cholesterol esters in small LDL	metab_sldlce	Cholesterol esters	Lipoprotein subclasses	Small LDL		
cholesteryl_esters_in_small_vldl	Cholesteryl Esters in Small VLDL	Cholesterol esters in small VLDL	metab_svldlce	Cholesterol esters	Lipoprotein subclasses	Small VLDL		
cholesteryl_esters_in_very_large_hdl	Cholesteryl Esters in Very Large HDL	Cholesterol esters in very large HDL	metab_xlhdlce	Cholesterol esters	Lipoprotein subclasses	Very large HDL		
cholesteryl_esters_in_very_large_vldl	Cholesteryl Esters in Very Large VLDL	Cholesterol esters in very large VLDL	metab_xlvldlce	Cholesterol esters	Lipoprotein subclasses	Very large VLDL		
cholesteryl_esters_in_very_small_vldl	Cholesteryl Esters in Very Small VLDL	Cholesterol esters in very small VLDL	metab_xsvldlce	Cholesterol esters	Lipoprotein subclasses	Very Small VLDL		
cholesteryl_esters_in_vldl	Cholesteryl Esters in VLDL		metab_vldlce	Cholesteryl esters in VLDL	Cholesteryl esters	Cholesteryl esters		
cholesteryl_esters_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage	Cholesteryl Esters to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Cholesteryl esters to total lipids ratio in chylomicrons and extremely large VLDL	metab_xxlvldlcepct	Ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios		
cholesteryl_esters_to_total_lipids_in_idl_percentage	Cholesteryl Esters to Total Lipids in IDL percentage	Cholesteryl esters to total lipids ratio in IDL	metab_idlcepct	Ratio	Lipoprotein subclasses ratios	IDL ratios		
cholesteryl_esters_to_total_lipids_in_large_hdl_percentage	Cholesteryl Esters to Total Lipids in Large HDL percentage	Cholesteryl esters to total lipids ratio in large HDL	metab_lhdlcepct	Ratio	Lipoprotein subclasses ratios	Large HDL ratios		
cholesteryl_esters_to_total_lipids_in_large_ldl_percentage	Cholesteryl Esters to Total Lipids in Large LDL percentage	Cholesteryl esters to total lipids ratio in large LDL	metab_lldlcepct	Ratio	Lipoprotein subclasses ratios	Large LDL ratios		
cholesteryl_esters_to_total_lipids_in_large_vldl_percentage	Cholesteryl Esters to Total Lipids in Large VLDL percentage	Cholesteryl esters to total lipids ratio in large VLDL	metab_lvldlcepct	Ratio	Lipoprotein subclasses ratios	Large VLDL ratios		
cholesteryl_esters_to_total_lipids_in_medium_hdl_percentage	Cholesteryl Esters to Total Lipids in Medium HDL percentage	Cholesteryl esters to total lipids ratio in medium HDL	metab_mhdlcepct	Ratio	Lipoprotein subclasses ratios	Medium HDL ratios		
cholesteryl_esters_to_total_lipids_in_medium_ldl_percentage	Cholesteryl Esters to Total Lipids in Medium LDL percentage	Cholesteryl esters to total lipids ratio in medium LDL	metab_mldlcepct	Ratio	Lipoprotein subclasses ratios	Medium LDL ratios		
cholesteryl_esters_to_total_lipids_in_medium_vldl_percentage	Cholesteryl Esters to Total Lipids in Medium VLDL percentage	Cholesteryl esters to total lipids ratio in medium VLDL	metab_mvldlcepct	Ratio	Lipoprotein subclasses ratios	Medium VLDL ratios		
cholesteryl_esters_to_total_lipids_in_small_hdl_percentage	Cholesteryl Esters to Total Lipids in Small HDL percentage	Cholesteryl esters to total lipids ratio in small HDL	metab_shdlcepct	Ratio	Lipoprotein subclasses ratios	Small HDL ratios		
cholesteryl_esters_to_total_lipids_in_small_ldl_percentage	Cholesteryl Esters to Total Lipids in Small LDL percentage	Cholesteryl esters to total lipids ratio in small LDL	metab_sldlcepct	Ratio	Lipoprotein subclasses ratios	Small LDL ratios		
cholesteryl_esters_to_total_lipids_in_small_vldl_percentage	Cholesteryl Esters to Total Lipids in Small VLDL percentage	Cholesteryl esters to total lipids ratio in small VLDL	metab_svldlcepct	Ratio	Lipoprotein subclasses ratios	Small VLDL ratios		
cholesteryl_esters_to_total_lipids_in_very_large_hdl_percentage	Cholesteryl Esters to Total Lipids in Very Large HDL percentage	Cholesteryl esters to total lipids ratio in very large HDL	metab_xlhdlcepct	Ratio	Lipoprotein subclasses ratios	Very large HDL ratios		
cholesteryl_esters_to_total_lipids_in_very_large_vldl_percentage	Cholesteryl Esters to Total Lipids in Very Large VLDL percentage	Cholesteryl esters to total lipids ratio in very large VLDL	metab_xlvldlcepct	Ratio	Lipoprotein subclasses ratios	Very large VLDL ratios		
cholesteryl_esters_to_total_lipids_in_very_small_vldl_percentage	Cholesteryl Esters to Total Lipids in Very Small VLDL percentage	Cholesteryl esters to total lipids ratio in very small VLDL	metab_xsvldlcepct	Ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios		
citrate	Citrate	Citrate levels	metab_citrate	Citrate	Glycolysis related metabolites	Glycolysis related metabolites		
clinical_ldl_cholesterol	Clinical LDL Cholesterol		metab_clinicalldlc	Clinical LDL cholesterol	Cholesterol	Cholesterol		
concentration_of_chylomicrons_and_extremely_large_vldl_particles	Concentration of Chylomicrons and Extremely Large VLDL Particles	Concentration of chylomicrons and extremely large VLDL particles	metab_xxlvldlp	Particle concentration	Lipoprotein subclasses	Extremely large VLDL		
concentration_of_hdl_particles	Concentration of HDL Particles		metab_hdlp	Concentration of HDL particles	Lipoprotein particle concentrations	Lipoprotein particle concentrations		
concentration_of_idl_particles	Concentration of IDL Particles	Concentration of IDL particles	metab_idlp	Particle concentration	Lipoprotein subclasses	IDL		
concentration_of_large_hdl_particles	Concentration of Large HDL Particles	Concentration of large HDL particles	metab_lhdlp	Particle concentration	Lipoprotein subclasses	Large HDL		
concentration_of_large_ldl_particles	Concentration of Large LDL Particles	Concentration of large LDL particles	metab_lldlp	Particle concentration	Lipoprotein subclasses	Large LDL		
concentration_of_large_vldl_particles	Concentration of Large VLDL Particles	Concentration of large VLDL particles	metab_lvldlp	Particle concentration	Lipoprotein subclasses	Large VLDL		
concentration_of_ldl_particles	Concentration of LDL Particles		metab_ldlp	Concentration of LDL particles	Lipoprotein particle concentrations	Lipoprotein particle concentrations		
concentration_of_medium_hdl_particles	Concentration of Medium HDL Particles	Concentration of medium HDL particles	metab_mhdlp	Particle concentration	Lipoprotein subclasses	Medium HDL		
concentration_of_medium_ldl_particles	Concentration of Medium LDL Particles	Concentration of medium LDL particles	metab_mldlp	Particle concentration	Lipoprotein subclasses	Medium LDL		
concentration_of_medium_vldl_particles	Concentration of Medium VLDL Particles	Concentration of medium VLDL particles	metab_mvldlp	Particle concentration	Lipoprotein subclasses	Medium VLDL		
concentration_of_small_hdl_particles	Concentration of Small HDL Particles	Concentration of small HDL particles	metab_shdlp	Particle concentration	Lipoprotein subclasses	Small HDL		
concentration_of_small_ldl_particles	Concentration of Small LDL Particles	Concentration of small LDL particles	metab_sldlp	Particle concentration	Lipoprotein subclasses	Small LDL		
concentration_of_small_vldl_particles	Concentration of Small VLDL Particles	Concentration of small VLDL particles	metab_svldlp	Particle concentration	Lipoprotein subclasses	Small VLDL		
concentration_of_very_large_hdl_particles	Concentration of Very Large HDL Particles	Concentration of very large HDL particles	metab_xlhdlp	Particle concentration	Lipoprotein subclasses	Very large HDL		
concentration_of_very_large_vldl_particles	Concentration of Very Large VLDL Particles	Concentration of very large VLDL particles	metab_xlvldlp	Particle concentration	Lipoprotein subclasses	Very large VLDL		
concentration_of_very_small_vldl_particles	Concentration of Very Small VLDL Particles	Concentration of very small VLDL particles	metab_xsvldlp	Particle concentration	Lipoprotein subclasses	Very Small VLDL		
concentration_of_vldl_particles	Concentration of VLDL Particles		metab_vldlp	Concentration of VLDL particles	Lipoprotein particle concentrations	Lipoprotein particle concentrations		
creatinine	Creatinine	Creatinine levels	metab_creatinine	Creatinine	Fluid balance	Fluid balance		
degree_of_unsaturation	Degree of Unsaturation	Estimated degree of unsaturation	metab_unsaturation	Degree of unsaturation	Fatty acids	Fatty acids		
docosahexaenoic_acid	Docosahexaenoic Acid	Docosahexaenoic acid (22:6) levels	metab_dha	Docosahexaenoic acid	Fatty acids	Fatty acids		
docosahexaenoic_acid_to_total_fatty_acids_percentage	Docosahexaenoic Acid to Total Fatty Acids percentage	Ratio of 22:6 docosahexaenoic acid to total fatty acids	metab_dhapct	Ratio of docosahexaenoic acid to total fatty acids	Fatty acids	Fatty acid ratios		
free_cholesterol_in_chylomicrons_and_extremely_large_vldl	Free Cholesterol in Chylomicrons and Extremely Large VLDL	Free cholesterol levels in chylomicrons and extremely large VLDL	metab_xxlvldlfc	Free cholesterol	Lipoprotein subclasses	Extremely large VLDL		
free_cholesterol_in_hdl	Free Cholesterol in HDL		metab_hdlfc	Free cholesterol in HDL	Free cholesterol	Free cholesterol		
free_cholesterol_in_idl	Free Cholesterol in IDL	Free cholesterol in IDL	metab_idlfc	Free cholesterol	Lipoprotein subclasses	IDL		
free_cholesterol_in_large_hdl	Free Cholesterol in Large HDL	Free cholesterol in large HDL	metab_lhdlfc	Free cholesterol	Lipoprotein subclasses	Large HDL		
free_cholesterol_in_large_ldl	Free Cholesterol in Large LDL	Free cholesterol in large LDL	metab_lldlfc	Free cholesterol	Lipoprotein subclasses	Large LDL		
free_cholesterol_in_large_vldl	Free Cholesterol in Large VLDL	Free cholesterol in large VLDL	metab_lvldlfc	Free cholesterol	Lipoprotein subclasses	Large VLDL		
free_cholesterol_in_ldl	Free Cholesterol in LDL		metab_ldlfc	Free cholesterol in LDL	Free cholesterol	Free cholesterol		
free_cholesterol_in_medium_hdl	Free Cholesterol in Medium HDL	Free cholesterol in medium HDL	metab_mhdlfc	Free cholesterol	Lipoprotein subclasses	Medium HDL		
free_cholesterol_in_medium_ldl	Free Cholesterol in Medium LDL	Free cholesterol in medium LDL	metab_mldlfc	Free cholesterol	Lipoprotein subclasses	Medium LDL		
free_cholesterol_in_medium_vldl	Free Cholesterol in Medium VLDL	Free cholesterol in medium VLDL	metab_mvldlfc	Free cholesterol	Lipoprotein subclasses	Medium VLDL		
free_cholesterol_in_small_hdl	Free Cholesterol in Small HDL	Free cholesterol in small HDL	metab_shdlfc	Free cholesterol	Lipoprotein subclasses	Small HDL		
free_cholesterol_in_small_ldl	Free Cholesterol in Small LDL	Free cholesterol in small LDL	metab_sldlfc	Free cholesterol	Lipoprotein subclasses	Small LDL		
free_cholesterol_in_small_vldl	Free Cholesterol in Small VLDL	Free cholesterol in small VLDL	metab_svldlfc	Free cholesterol	Lipoprotein subclasses	Small VLDL		
free_cholesterol_in_very_large_hdl	Free Cholesterol in Very Large HDL	Free cholesterol in very large HDL	metab_xlhdlfc	Free cholesterol	Lipoprotein subclasses	Very large HDL		
free_cholesterol_in_very_large_vldl	Free Cholesterol in Very Large VLDL	Free cholesterol in very large VLDL	metab_xlvldlfc	Free cholesterol	Lipoprotein subclasses	Very large VLDL		
free_cholesterol_in_very_small_vldl	Free Cholesterol in Very Small VLDL	Free cholesterol in very small VLDL	metab_xsvldlfc	Free cholesterol	Lipoprotein subclasses	Very Small VLDL		
free_cholesterol_in_vldl	Free Cholesterol in VLDL		metab_vldlfc	Free cholesterol in VLDL	Free cholesterol	Free cholesterol		
free_cholesterol_to_total_lipids_in_chylomicrons_and_extremely_large_vldl_percentage	Free Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage	Free cholesterol to total lipids ratio in chylomicrons and extremely large VLDL	metab_xxlvldlfcpct	Ratio	Lipoprotein subclasses ratios	Extremely large VLDL ratios		
free_cholesterol_to_total_lipids_in_idl_percentage	Free Cholesterol to Total Lipids in IDL percentage	Free cholesterol to total lipids ratio in IDL	metab_idlfcpct	Ratio	Lipoprotein subclasses ratios	IDL ratios		
free_cholesterol_to_total_lipids_in_large_hdl_percentage	Free Cholesterol to Total Lipids in Large HDL percentage	Free cholesterol to total lipids ratio in large HDL	metab_lhdlfcpct	Ratio	Lipoprotein subclasses ratios	Large HDL ratios		
free_cholesterol_to_total_lipids_in_large_ldl_percentage	Free Cholesterol to Total Lipids in Large LDL percentage	Free cholesterol to total lipids ratio in large LDL	metab_lldlfcpct	Ratio	Lipoprotein subclasses ratios	Large LDL ratios		
free_cholesterol_to_total_lipids_in_large_vldl_percentage	Free Cholesterol to Total Lipids in Large VLDL percentage	Free cholesterol to total lipids ratio in large VLDL	metab_lvldlfcpct	Ratio	Lipoprotein subclasses ratios	Large VLDL ratios		
free_cholesterol_to_total_lipids_in_medium_hdl_percentage	Free Cholesterol to Total Lipids in Medium HDL percentage	Free cholesterol to total lipids ratio in medium HDL	metab_mhdlfcpct	Ratio	Lipoprotein subclasses ratios	Medium HDL ratios		
free_cholesterol_to_total_lipids_in_medium_ldl_percentage	Free Cholesterol to Total Lipids in Medium LDL percentage	Free cholesterol to total lipids ratio in medium LDL	metab_mldlfcpct	Ratio	Lipoprotein subclasses ratios	Medium LDL ratios		
free_cholesterol_to_total_lipids_in_medium_vldl_percentage	Free Cholesterol to Total Lipids in Medium VLDL percentage	Free cholesterol to total lipids ratio in medium VLDL	metab_mvldlfcpct	Ratio	Lipoprotein subclasses ratios	Medium VLDL ratios		
free_cholesterol_to_total_lipids_in_small_hdl_percentage	Free Cholesterol to Total Lipids in Small HDL percentage	Free cholesterol to total lipids ratio in small HDL	metab_shdlfcpct	Ratio	Lipoprotein subclasses ratios	Small HDL ratios		
free_cholesterol_to_total_lipids_in_small_ldl_percentage	Free Cholesterol to Total Lipids in Small LDL percentage	Free cholesterol to total lipids ratio in small LDL	metab_sldlfcpct	Ratio	Lipoprotein subclasses ratios	Small LDL ratios		
free_cholesterol_to_total_lipids_in_small_vldl_percentage	Free Cholesterol to Total Lipids in Small VLDL percentage	Free cholesterol to total lipids ratio in small VLDL	metab_svldlfcpct	Ratio	Lipoprotein subclasses ratios	Small VLDL ratios		
free_cholesterol_to_total_lipids_in_very_large_hdl_percentage	Free Cholesterol to Total Lipids in Very Large HDL percentage	Free cholesterol to total lipids ratio in very large HDL	metab_xlhdlfcpct	Ratio	Lipoprotein subclasses ratios	Very large HDL ratios		
free_cholesterol_to_total_lipids_in_very_large_vldl_percentage	Free Cholesterol to Total Lipids in Very Large VLDL percentage	Free cholesterol to total lipids ratio in very large VLDL	metab_xlvldlfcpct	Ratio	Lipoprotein subclasses ratios	Very large VLDL ratios		
free_cholesterol_to_total_lipids_in_very_small_vldl_percentage	Free Cholesterol to Total Lipids in Very Small VLDL percentage	Free cholesterol to total lipids ratio in very small VLDL	metab_xsvldlfcpct	Ratio	Lipoprotein subclasses ratios	Very Small VLDL ratios		
glucose	Glucose	Glucose levels	metab_glucose	Glucose	Glycolysis related metabolites	Glycolysis related metabolites		
glutamine	Glutamine	Glutamine levels	metab_gln	Glutamine	Amino acids	Amino acids		
glycine	Glycine	Glycine levels	metab_gly	Glycine	Amino acids	Amino acids		
glycoprotein_acetyls	Glycoprotein Acetyls	Glycoprotein acetylation	metab_glyca	Glycoprotein acetyls	Inflammation	Inflammation		
hdl_cholesterol	HDL Cholesterol		metab_hdlc	HDL C	Cholesterol	Cholesterol		
histidine	Histidine	Histidine levels	metab_his	Histidine	Amino acids	Amino acids		
isoleucine	Isoleucine	Isoleucine levels	metab_ile	Isoleucine	Amino acids	Branched-chain amino acids		
lactate	Lactate	Lactate levels	metab_lactate	Lactate	Glycolysis related metabolites	Glycolysis related metabolites		
ldl_cholesterol	LDL Cholesterol		metab_ldlc	LDL C	Cholesterol	Cholesterol		
leucine	Leucine	Leucine levels	metab_leu	Leucine	Amino acids	Branched-chain amino acids		
linoleic_acid	Linoleic Acid	Linoleic acid (18:2) levels	metab_la	Linoleic acid	Fatty acids	Fatty acids		
linoleic_acid_to_total_fatty_acids_percentage	Linoleic Acid to Total Fatty Acids percentage	Ratio of 18:2 linoleic acid to total fatty acids	metab_lapct	Ratio of linoleic acid to total fatty acids	Fatty acids	Fatty acid ratios		
monounsaturated_fatty_acids	Monounsaturated Fatty Acids	"Monounsaturated fatty acids (16:1, 18:1) levels"	metab_mufa	MUFA	Fatty acids	Fatty acids		
monounsaturated_fatty_acids_to_total_fatty_acids_percentage	Monounsaturated Fatty Acids to Total Fatty Acids percentage	Ratio of monounsaturated fatty acids to total fatty acids	metab_mufapct	Ratio of monounsaturated fatty acids to total fatty acids	Fatty acids	Fatty acid ratios		
omega_3_fatty_acids	Omega-3 Fatty Acids	Omega-3 fatty acids levels	metab_omega3	Omega-3 fatty acids	Fatty acids	Fatty acids		
omega_3_fatty_acids_to_total_fatty_acids_percentage	Omega-3 Fatty Acids to Total Fatty Acids percentage	Ratio of omega-3 fatty acids to total fatty acids	metab_omega3pct	Ratio of omega-3 fatty acids to total fatty acids	Fatty acids	Fatty acid ratios		
omega_6_fatty_acids	Omega-6 Fatty Acids	Omega-6 fatty acids levels	metab_omega6	Omega-6 fatty acids	Fatty acids	Fatty acids		
omega_6_fatty_acids_to_omega_3_fatty_acids_ratio	Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio		metab_omega6omega3	Ratio of omega-6 fatty acids to omega-3 fatty acids	Fatty acids	Fatty acid ratios		
omega_6_fatty_acids_to_total_fatty_acids_percentage	Omega-6 Fatty Acids to Total Fatty Acids percentage	Ratio of omega-6 fatty acids to total fatty acids	metab_omega6pct	Ratio of omega-6 fatty acids to total fatty acids	Fatty acids	Fatty acid ratios		
phenylalanine	Phenylalanine	Phenylalanine levels	metab_phe	Phenylalanine	Amino acids	Aromatic amino acids		
phosphatidylcholines	Phosphatidylcholines	Phosphatidylcholine and other choline levels	metab_phosphatidylc	Phosphatidylcholines	Other lipids	Other lipids		
phosphoglycerides	Phosphoglycerides	Total phosphoglycerides levels	metab_phosphoglyc	Phosphoglycerides	Other lipids	Other lipids		
phospholipids_in_chylomicrons_and_extremely_large_vldl	Phospholipids in Chylomicrons and Extremely Large VLDL	Phospholipid levels in chylomicrons and extremely large VLDL	metab_xxlvldlpl	Phospholipids	Lipoprotein subclasses	Extremely large VLDL	TRUE	no mention of chylomicrons
phospholipids_in_hdl	Phospholipids in HDL		metab_hdlpl	Phospholipids in HDL	Phospholipids	Phospholipids		
phospholipids_in_idl	Phospholipids in IDL	Phospholipids in IDL	metab_idlpl	Phospholipids	Lipoprotein subclasses	IDL		
phospholipids_in_large_hdl	Phospholipids in Large HDL	Phospholipids in large HDL	metab_lhdlpl	Phospholipids	Lipoprotein subclasses	Large HDL		
phospholipids_in_large_ldl	Phospholipids in Large LDL	Phospholipids in large LDL	metab_lldlpl	Phospholipids	Lipoprotein subclasses	Large LDL		
